what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890556487
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890558271
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.paste",1510890562222
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890567479
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890568046
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890615134
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.paste",1510890619586
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890620275
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890624917
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890640763
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890666173
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890667785
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890669714
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890673096
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1510890676150
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1510890676159
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1510890676190
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.text.contentAssist.proposals",1510890676441
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890678381
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890680855
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.findReplace",1510890680875
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890684352
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890684387
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890688853
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890688967
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890691855
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890692896
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890701375
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890704453
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890753123
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890755028
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890779468
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890780977
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890787955
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890790048
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890790974
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890792595
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890793986
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890794916
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890796277
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890797356
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890801258
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890802381
